came,pass,360.27391316605923
lord,god,246.2694630769252
david,father,232.09467975494783
word,lord,196.48535520798768
round,about,188.51295614730793
book,chronicles,164.2377384998829
high,places,162.63368822309187
rest,acts,146.8420374227753
children,israel,136.1716228461394
chronicles,kings,126.5978289214654
slept,fathers,124.05651211770981
king,solomon,123.63242863379568
man,god,118.0560958442041
king,israel,115.56655922966681
there,was,99.56358260588968
every,man,95.91134633701446
not,written,86.57667170977624
now,rest,85.14891933582612
began,reign,79.79186633330794
cut,off,77.87731429406047
captain,host,77.85529891067125
will,give,76.71427891643329
young,men,76.00133234551392
four,hundred,74.7347176729822
king,judah,72.4704556284398
thou,art,71.00700446262873
palm,trees,70.05769148482612
mothers,name,70.04127220621167
over,israel,69.51029052136472
war,between,69.2671966871963
god,israel,68.42728796100043
all,people,66.00356929184713
princes,provinces,65.46976371664569
year,king,65.1945727120665
according,word,64.00260933016031
bread,drink,63.1650342517768
are,not,62.92201904655441
thus,lord,62.57291030520647
people,israel,62.29031035702951
prayer,supplication,62.270534944669905
silver,gold,62.17448696173692
reign,over,62.050418619602425
five,cubits,61.50684387559451
city,david,61.41191279450413
son,reigned,61.00807771007792
burnt,incense,60.90579338954339
sight,lord,60.71773279370572
olive,tree,59.647700395998314
open,flowers,57.8321780225737
holy,place,57.087695770182215
hear,thou,57.084276725293705
all,days,56.77302577251993
ten,cubits,56.72672522596564
keep,statutes,56.559000891713914
fowls,air,56.55726180023408
all,israel,55.073548264829206
israel,sin,54.752701088296725
peace,offerings,53.76728440217799
burnt,offerings,52.98896900672924
pure,gold,52.59558685949065
will,not,52.59093953732422
stood,before,52.12978161043823
reigned,over,51.97100035446459
costly,stones,51.854235900726415
mine,eyes,51.82166326364562
eat,bread,51.570983973464166
three,looking,51.48099571060081
breadth,thereof,51.18770274312952
chapiters,were,50.30931355336616
now,therefore,50.16769572870737
heaven,dwelling,50.11093842588224
drink,water,49.94555325017038
according,all,49.74222981155691
house,lord,49.2169659142592
fat,cattle,48.23949563350867
most,holy,48.23949563350867
was,buried,47.754504711069124
hewed,stones,46.85298883454174
second,time,46.40443262254066
sit,throne,45.947816317439184
eat,drink,45.19576026621665
solomon,had,45.11876270488985
forest,lebanon,45.100006770921375
maintain,cause,45.100006770921375
other,gods,45.05794391243961
living,child,45.00270442704315
twenty,cubits,44.98798229117809
dwelling,place,44.838552465731496
out,land,44.57730984774615
overlaid,gold,44.16220230670724
caught,hold,43.74125268865929
then,hear,43.12895822822681
ten,bases,43.104340979440806
wilt,walk,42.90492064102274
ark,covenant,42.56460696510397
pass,after,42.185056854531624
priest,prophet,41.93593014883462
have,forsaken,41.87561413456279
have,sinned,41.859357609326324
saying,thus,41.72722712271046
length,thereof,41.635998296923354
bowls,chapiters,41.47429923959782
king,syria,41.20048620045311
other,chapiter,40.90520604955682
men,princes,40.848219688883646
saddled,ass,40.60220213420034
boards,cedar,40.33705828104711
right,side,40.321253773043196
dogs,eat,40.2891739804932
top,pillars,40.10403560181358
went,out,40.05164579611363
son,reign,39.92076914390935
answered,said,39.701682602316694
congregation,israel,39.34691406371188
ashtoreth,goddess,39.326847667734434
chastise,scorpions,39.326847667734434
chastised,whips,39.326847667734434
linen,yarn,39.326847667734434
new,garment,39.326847667734434
three,years,39.19126202846377
widow,woman,39.168791819626705
thou,wilt,39.09739752223068
precious,stones,38.74549254165542
all,congregation,38.59694698993016
turn,again,38.43391067983873
own,country,38.41066862101028
take,away,37.9941108744744
priests,high,37.84362531823705
hundred,fifty,37.79365732150567
air,eat,37.26679737013824
took,away,37.10796375038112
jeroboam,son,36.95563574652911
pharaohs,daughter,36.93852517089454
arose,went,36.748405858428825
statutes,judgments,36.33373160423116
cubits,breadth,36.24496721975146
did,evil,35.966934246894375
offering,evening,35.50776265796555
