,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,3.0,0.9995999932289124,"son, man, child, father, give, bring, servant, build, captain, chief",1 Chronicles.txt
1,1,105.0,0.6636000275611877,"man, great, beast, write, angel, hear, voice, earth, power, eat",1 Corinthians.txt
2,2,201.0,0.2879999876022339,"answer, man, verily, hear, son, word, disciple, give, life, love",1 John.txt
3,3,103.0,0.40689998865127563,"king, year, servant, reign, bring, burn, priest, build, word, city",1 Kings.txt
4,4,250.0,0.9965000152587891,"man, word, good, call, speak, suffer, work, glory, evil, sin",1 Peter.txt
5,5,215.0,0.5220999717712402,"man, hand, bring, day, hear, deliver, great, stand, word, place",1 Samuel.txt
6,6,217.0,0.9934999942779541,"man, word, faith, night, chapter, child, brother, sleep, receive, love",1 Thessalonians.txt
7,7,252.0,0.5519000291824341,"good, faith, man, give, woman, doctrine, teach, meditate, widow, faithful",1 Timothy.txt
8,8,103.0,0.3458000123500824,"king, year, servant, reign, bring, burn, priest, build, word, city",2 Chronicles.txt
9,9,145.0,0.9160000085830688,"glory, man, love, write, receive, chapter, wherefore, speak, mind, measure",2 Corinthians.txt
10,10,133.0,0.9581000208854675,"love, write, child, commandment, walk, hear, truth, receive, face, deed",2 John.txt
11,11,103.0,0.5760999917984009,"king, year, servant, reign, bring, burn, priest, build, word, city",2 Kings.txt
12,12,196.0,0.994700014591217,"day, ungodly, speak, knowledge, man, word, reserve, judgment, great, bring",2 Peter.txt
13,13,215.0,0.3935999870300293,"man, hand, bring, day, hear, deliver, great, stand, word, place",2 Samuel.txt
14,14,122.0,0.9883000254631042,"work, man, tradition, word, good, pen, brother, truth, reveal, church",2 Thessalonians.txt
15,15,59.0,0.6585999727249146,"man, faith, word, strive, remembrance, rightly, good, truth, turn, fully",2 Timothy.txt
16,16,122.0,0.7053999900817871,"work, man, tradition, word, good, pen, brother, truth, reveal, church",3 John.txt
17,17,141.0,0.5019000172615051,"man, hear, give, answer, day, call, disciple, enter, great, receive",Acts.txt
18,18,184.0,0.4887999892234802,"land, child, day, eat, shalt, bring, give, destroy, hand, word",Amos.txt
19,19,130.0,0.9951000213623047,"man, flesh, body, mystery, power, give, put, walk, fulness, love",Colossians.txt
20,20,215.0,0.9210000038146973,"man, hand, bring, day, hear, deliver, great, stand, word, place",Daniel.txt
21,21,184.0,0.7730000019073486,"land, child, day, eat, shalt, bring, give, destroy, hand, word",Deuteronomy.txt
22,22,113.0,0.9390000104904175,"man, heart, wise, time, wisdom, vanity, good, fool, work, day",Ecclesiastes.txt
23,23,145.0,0.42590001225471497,"glory, man, love, write, receive, chapter, wherefore, speak, mind, measure",Ephesians.txt
24,24,93.0,0.7217000126838684,"king, day, write, province, month, command, destroy, commandment, esther, woman",Esther.txt
25,25,131.0,0.7602999806404114,"child, man, give, bring, land, family, put, son, offer, day",Exodus.txt
26,26,97.0,0.5788000226020813,"side, cubit, bring, land, measure, live, face, sword, thee, set",Ezekiel.txt
27,27,51.0,0.9983999729156494,"child, son, priest, levite, build, man, bring, great, father, day",Ezra.txt
28,28,174.0,0.8406000137329102,"law, faith, man, promise, flesh, gentile, church, circumcise, child, work",Galatians.txt
29,29,27.0,0.8040000200271606,"son, year, give, man, call, land, bring, brother, day, daughter",Genesis.txt
30,30,62.0,0.5885999798774719,"violence, work, tremble, glory, rejoice, power, drag, laid, net, horse",Habakkuk.txt
31,31,67.0,0.9872000217437744,"host, answer, word, month, horse, son, priest, governor, prophet, bring",Haggai.txt
32,32,250.0,0.32820001244544983,"man, word, good, call, speak, suffer, work, glory, evil, sin",Hebrews.txt
